Error;
40;3.58669e-06;
 41;1.06275e-05;
 42;7.57901e-05;
 43;6.55553e-05;
 44;3.18575e-05;
 45;6.04073e-06;
 46;0.000205378;
 47;5.506e-05;
 48;8.25215e-06;
 49;1.98486e-06;
 50;1.1519e-05;
 51;7.385e-07;
 52;3.88011e-05;
 53;7.45957e-05;
 54;8.64811e-05;
 55;2.72724e-05;
 56;6.51296e-05;
 57;2.1271e-05;
 58;6.51449e-06;
 59;4.43105e-05;
 60;3.2e-05;
 61;2.79552e-05;
 62;3.57672e-05;
 63;2.1555e-06;
 64;7.40773e-06;
 65;6.19986e-07;
 66;6.41349e-05;
 67;4.51717e-06;
 68;1.80895e-05;
 69;2.06149e-06;
 70;9.52636e-07;
 71;2.67986e-06;
 72;1.14753e-05;
 73;3.5763e-05;
 74;2.53592e-06;
 75;1.03358e-06;
 76;6.37278e-06;
 77;9.66773e-07;
 78;4.34529e-06;
 79;2.36553e-06;
 80;1.15883e-05;
 81;7.23762e-05;
 82;3.40329e-05;
 83;4.98493e-05;
 84;6.56765e-06;
 85;1.85844e-06;
 86;6.17547e-06;
 87;6.20714e-06;
 88;7.70044e-07;
 89;3.29851e-05;
 90;0.000112883;
 91;9.39893e-06;
 92;5.64597e-06;
 93;7.36532e-06;
 94;2.0069e-05;
 95;3.40935e-05;
 96;4.1321e-06;
 97;1.46152e-05;
 98;2.48793e-05;
 99;4.22395e-05;
 100;3.32183e-06;
 101;6.29599e-06;
 102;3.21143e-06;
 103;4.82595e-05;
 104;8.15156e-06;
 105;1.21347e-05;
 106;9.27881e-06;
 107;2.09418e-05;
 108;2.30949e-05;
 109;3.4052e-06;
 110;9.03214e-06;
 111;1.99908e-06;
 112;1.31711e-05;
 113;7.84036e-06;
 114;3.14234e-06;
 115;4.93706e-05;
 116;7.57945e-06;
 117;4.78697e-06;
 118;3.42379e-06;
 119;3.2182e-06;
 120;1.00266e-05;
 